#gottowik@astro9:/common/scrd/gottowik/offline/trunk/Framework/SDetector$ grep -B7 "    <inGrid> 1 </inGrid>" SStationList.xml.in | grep -E 'northing|easting|id=' > ~/blabla.txt

 1 6082772.00  454380.00 
 2 6081451.00  456611.00 
 3 6082755.00  463384.00 
 5 6082759.00  455882.00 
 6 6085287.00  452840.00 
 7 6084060.00  453630.00 
 8 6085437.00  454408.00 
 9 6084059.00  455148.00 
 10 6081449.00  455109.00 
 14 6086670.14  455125.17 
 16 6086673.83  459613.86 
 18 6086661.03  453630.46 
 21 6085355.12  457373.26 
 26 6085380.31  455877.02 
 31 6082764.55  461878.32 
 33 6080168.49  460373.54 
 34 6081459.49  461124.69 
 35 6086656.73  458143.72 
 38 6081454.69  459641.60 
 40 6086656.03  456632.47 
 43 6085360.76  458860.48 
 44 6084054.97  459623.99 
 45 6085350.90  460376.28 
 46 6084063.49  458118.57 
 48 6085362.77  461870.28 
 49 6082769.50  460371.43 
 51 6078843.22  462622.16 
 52 6080160.46  461877.96 
 53 6084059.43  461139.28 
 55 6087950.83  455859.16 
 57 6087955.78  454377.53 
 58 6086661.07  461116.30 
 61 6081452.49  462628.06 
 63 6082755.93  458900.88 
 65 6084042.48  456643.00 
 66 6080214.29  463338.73 
 68 6084066.18  462628.44 
 70 6082779.47  463390.60 
 101 6091837.98  468619.84 
 102 6089249.42  468626.01 
 103 6091856.57  467127.23 
 104 6093214.94  467823.99 
 105 6089277.69  470118.65 
 106 6087951.98  472369.04 
 107 6093146.75  472375.73 
 108 6093151.45  466375.6 
 109 6094504.11  467059.18 
 110 6093151.03  469383.96 
 111 6087954.07  473873.11 
 112 6090552.42  472374.78 
 113 6089249.41  473121.07 
 114 6094457.9  471631.53 
 115 6089247.38  458133.5 
 116 6094439.11  470137.54 
 117 6093153.86  470874.13 
 118 6094442.28  468630.63 
 119 6091851.8  471630.6 
 121 6082782.8  467880.07 
 122 6091858.5  473126.25 
 123 6089194.49  456646.38 
 124 6087948.71  457370.82 
 125 6081469.21  464121.84 
 126 6090565.77  457321.93 
 127 6091843.62  458124.53 
 128 6084047.04  464130.62 
 129 6091870.3  456638.35 
 130 6093133.56  457329.46 
 131 6090554.52  467872.25 
 132 6086651.72  473126.99 
 133 6086649.14  471627.25 
 134 6089329.68  471589.85 
 135 6086647.51  470127.05 
 137 6084045.01  477625.37 
 138 6090545.78  469374.93 
 139 6091848.95  470130.35 
 140 6090546.52  470890.71 
 141 6093144.84  478375.27 
 142 6087951.94  470879.25 
 143 6086648.68  468629.07 
 144 6087950.52  469379.74 
 145 6085352.01  469379.56 
 146 6085347.68  470879.45 
 147 6085352.81  472376.2 
 148 6086643.18  467128.44 
 149 6085350.17  467875.58 
 150 6087952.03  467875.75 
 151 6089231.77  467117.55 
 152 6086674.85  462599.09 
 153 6085344.43  463389.61 
 154 6085335.61  464872.08 
 155 6086658.75  464112.86 
 156 6089264.51  465642.87 
 157 6087950.55  464897.51 
 158 6087944.83  466373.0 
 159 6090544.77  460363.51 
 160 6089254.03  461127.06 
 161 6090547.68  461866.14 
 162 6090533.48  463455.42 
 163 6087950.63  461878.5 
 164 6089235.89  462595.03 
 165 6087935.28  463397.9 
 166 6089235.41  464110.14 
 167 6084048.56  467124.8 
 168 6084043.69  465657.49 
 169 6085347.96  466375.57 
 170 6086636.45  465611.56 
 171 6091847.02  465642.02 
 172 6090547.41  464875.23 
 173 6090521.43  466377.17 
 174 6091790.51  464075.37 
 175 6094396.68  462684.55 
 176 6093143.83  463313.04 
 177 6093183.51  461876.02 
 178 6091795.01  462547.84 
 179 6093194.9  464861.17 
 180 6087901.5  458849.45 
 181 6089238.62  459633.98 
 182 6087964.1  460403.16 
 183 6094364.96  464154.84 
 184 6090530.54  458779.49 
 187 6093129.79  458854.99 
 188 6093079.77  460413.14 
 189 6091882.55  461185.04 
 190 6091852.12  459625.7 
 191 6084054.23  470125.87 
 192 6084053.92  468575.67 
 193 6082744.73  469469.02 
 194 6084055.39  471627.61 
 195 6082760.82  472376.6 
 196 6082759.52  466372.11 
 197 6082758.34  464875.15 
 198 6082748.73  470870.79 
 199 6081502.46  467131.79 
 200 6081461.94  470125.9 
 201 6081493.3  468608.78 
 202 6081467.0  471625.66 
 203 6095749.81  469375.88 
 204 6095743.53  470876.13 
 205 6095746.02  467869.94 
 206 6097035.37  470126.17 
 207 6089251.81  476121.09 
 208 6086642.32  479126.58 
 209 6093144.72  473876.47 
 211 6094446.17  474626.53 
 212 6094444.46  473124.79 
 213 6097037.4  471627.57 
 214 6093145.9  475375.2 
 215 6095743.76  472378.81 
 216 6097035.08  473125.91 
 217 6095739.77  473880.34 
 218 6091846.5  474626.29 
 219 6086647.24  474639.87 
 220 6087945.51  475376.57 
 221 6087952.54  478382.17 
 222 6084046.93  473129.35 
 223 6089247.56  474626.73 
 224 6084046.53  474625.27 
 225 6086645.03  476127.44 
 226 6090545.43  475373.77 
 227 6086643.8  477627.19 
 228 6081457.31  477615.81 
 229 6090555.05  473875.97 
 230 6090544.73  479875.06 
 231 6085347.71  475376.69 
 232 6085347.98  473876.31 
 233 6087946.52  476874.71 
 234 6090547.73  476873.47 
 235 6091858.38  476124.12 
 236 6087947.42  479876.74 
 237 6089240.51  477626.35 
 238 6091849.5  477623.08 
 239 6089246.05  479126.54 
 240 6090544.07  478377.0 
 241 6084052.7  476124.31 
 242 6085375.99  478387.73 
 243 6085355.89  476874.7 
 244 6094442.72  476126.65 
 245 6082762.41  476876.73 
 246 6082755.83  475374.58 
 247 6091842.86  479125.88 
 248 6093146.0  476879.43 
 249 6082751.69  478374.13 
 250 6084042.93  482125.11 
 251 6095740.22  478374.57 
 252 6094439.4  479125.83 
 253 6097029.27  476121.81 
 254 6097013.14  477618.86 
 255 6084044.65  480624.67 
 256 6085343.0  479875.36 
 257 6084046.85  479129.88 
 258 6097035.84  474624.57 
 259 6095748.86  475375.49 
 260 6094444.59  477625.39 
 261 6095739.07  476870.72 
 262 6085344.08  481375.12 
 263 6086647.54  480627.1 
 264 6082757.28  482874.04 
 265 6082752.25  481375.8 
 266 6080153.45  476877.27 
 267 6082755.48  479875.81 
 268 6081459.02  483623.57 
 269 6081457.09  479123.62 
 270 6081447.54  480603.93 
 271 6081505.35  482112.81 
 272 6080155.48  478375.01 
 273 6080154.6  475375.97 
 274 6081456.94  474625.31 
 275 6081459.78  476127.18 
 276 6078851.83  477624.94 
 277 6080153.92  479877.0 
 278 6080154.73  481374.91 
 279 6078860.55  479124.31 
 280 6077555.74  475374.75 
 281 6078859.06  476123.18 
 282 6077493.28  473855.45 
 283 6080157.7  472378.25 
 284 6078857.14  474623.56 
 285 6080153.95  482873.37 
 286 6078854.87  482124.62 
 287 6078843.47  480620.18 
 288 6077555.35  478374.08 
 289 6077553.64  479870.03 
 290 6080153.47  473877.91 
 291 6077564.33  476876.53 
 292 6078856.06  473124.86 
 293 6073656.75  473124.99 
 294 6073657.35  471628.58 
 295 6081448.31  473128.35 
 296 6077553.13  470874.35 
 297 6077554.74  472374.1 
 298 6077548.3  481387.69 
 299 6078861.3  471624.67 
 300 6073661.56  465622.78 
 301 6074956.85  472375.49 
 302 6073655.77  470127.59 
 303 6074956.86  470874.88 
 304 6080135.35  470923.82 
 305 6080148.38  469374.42 
 306 6078844.04  467120.42 
 307 6078858.05  468627.12 
 308 6080162.52  466374.56 
 309 6072360.6  478377.56 
 310 6080160.16  467878.75 
 311 6077551.67  469375.05 
 312 6078845.82  470112.46 
 313 6076256.23  468623.83 
 314 6074960.77  473873.23 
 315 6077557.91  467874.51 
 316 6082754.02  473876.32 
 317 6076232.11  477622.94 
 318 6080162.69  457382.02 
 319 6076257.07  470124.18 
 320 6082753.48  457376.68 
 321 6072355.47  458874.37 
 322 6073656.02  459623.25 
 323 6080156.31  458874.92 
 324 6076247.34  471624.12 
 325 6072369.2  467895.6 
 326 6076258.88  473122.56 
 327 6073659.14  479125.24 
 328 6076254.34  467124.95 
 329 6073653.74  468621.13 
 330 6073658.76  467124.13 
 331 6072353.92  469373.45 
 332 6078859.69  465625.36 
 333 6078861.42  464126.36 
 334 6074953.84  466374.09 
 336 6072356.99  472375.35 
 337 6072353.17  466375.82 
 338 6081459.94  455108.8 
 339 6074967.21  467875.5 
 340 6074955.39  469375.93 
 341 6077556.51  466374.86 
 342 6077557.28  464875.62 
 343 6076253.25  465624.22 
 344 6077556.91  463375.9 
 345 6072355.81  475374.04 
 346 6074999.42  455859.81 
 347 6074960.43  479874.46 
